Name,NetWorth,Country,Source,Rank
Mikhail Prokhorov,11400000000,Russia,investments,193
Jorge Moll Filho & family,11300000000,Brazil,hospitals,194
Viktor Rashnikov,11200000000,Russia,steel,195
Harry Triguboff,11200000000,Australia,real estate,195
Leonid Fedun & family,11100000000,Russia,oil,197
Eyal Ofer,11100000000,Israel,"real estate, shipping",197
Evan Spiegel,11100000000,United States,Snapchat,197
Luis Carlos Sarmiento,11000000000,Colombia,banking,200
Andreas Struengmann & family,11000000000,Germany,pharmaceuticals,200
Thomas Struengmann & family,11000000000,Germany,pharmaceuticals,200
Rodolphe Saadé & family,10900000000,France,shipping,203
Dilip Shanghvi,10900000000,India,pharmaceuticals,203
Tom & Judy Love,10800000000,United States,retail & gas stations,205
Anthony Pratt,10800000000,Australia,manufacturing,205
Wang Laisheng,10800000000,China,electronics components,205
Gianluigi & Rafaela Aponte,10700000000,Switzerland,Shipping,208
Wang Laichun,10700000000,China,electronics components,208
Chen Jianhua,10600000000,China,chemicals,210
Leng Youbin,10600000000,China,infant formula,210
Charles Schwab,10600000000,United States,discount brokerage,210
Li Zhenguo & family,10500000000,China,solar wafers and modules,213
Sunil Mittal & family,10500000000,India,telecom,213
Melker Schorling & family,10500000000,Sweden,investments,213
Cai Kui,10400000000,China,real estate,216
John Fredriksen,10400000000,Cyprus,shipping,216
Qi Shi & family,10400000000,China,financial information,216
"Chase Coleman, III.",10300000000,United States,investments,219
Hui Wing Mau,10300000000,Hong Kong,real estate,219
"Edward Johnson, III.",10300000000,United States,money management,219
Liu Hanyuan,10300000000,China,agribusiness,219
Larry Xiangdong Chen,10200000000,China,education,223
Philip Anschutz,10100000000,United States,investments,224
Dietmar Hopp & family,10100000000,Germany,software,224
German Khan,10100000000,Russia,"oil, banking, telecom",224
Li Ge,10100000000,United States,pharmaceutical ingredients,224
Jay Chaudhry,10000000000,United States,security software,228
Eric Wittouck,10000000000,Belgium,investments,228
Carl Cook,9900000000,United States,medical devices,230
Jan Koum,9900000000,United States,WhatsApp,230
"Herbert Kohler, Jr. & family",9800000000,United States,plumbing fixtures,232
Tobi Lutke,9800000000,Canada,e-commerce,232
James Dyson,9700000000,United Kingdom,vacuums,234
Mat Ishbia,9700000000,United States,★,234
Savitri Jindal & family,9700000000,India,steel,234
Friedhelm Loh,9700000000,Germany,manufacturing,234
Iskander Makhmudov,9700000000,Russia,"mining, metals, machinery",234
Stefano Pessina,9700000000,Italy,drugstores,234
Quek Leng Chan,9700000000,Malaysia,"banking, property",234
Israel Englander,9600000000,United States,hedge funds,241
Charles Ergen,9600000000,United States,satellite TV,241
Jim Pattison,9600000000,Canada,diversified,241
Yao Liangsong,9600000000,China,furniture,241
David Geffen,9500000000,United States,"movies, record labels",245
Yeung Kin-man,9500000000,Hong Kong,electronics,245
Ding Shizhong & family,9400000000,China,sports apparel,247
Harold Hamm & family,9400000000,United States,oil & gas,247
Jim Kennedy,9400000000,United States,"media, automotive",247
Blair Parry-Okeden,9400000000,United States,"media, automotive",247
Ding Shijia,9300000000,China,sports apparel,251
Kim Beom-su,9300000000,South Korea,online services,251
Ian & Richard Livingstone,9300000000,United Kingdom,real estate,251
Sun Hongbin,9300000000,United States,real estate,251
Alberto Bailleres Gonzalez & family,9200000000,Mexico,mining,255
Lam Wai-ying,9100000000,Hong Kong,smartphone screens,256
Massimiliana Landini Aleotti & family,9100000000,Italy,pharmaceuticals,256
Lu Xiangyang,9100000000,China,"automobiles, batteries",256
Wolfgang Marguerre & family,9100000000,Germany,pharmaceuticals,256
David Sun,9100000000,United States,computer hardware,256
John Tu,9100000000,United States,computer hardware,256
Guillaume Pousaz,9000000000,Switzerland,fintech,262
Viktor Vekselberg,9000000000,Russia,"metals, energy",262
Jerry Jones,8900000000,United States,Dallas Cowboys,264
Michael Otto,8900000000,Germany,"retail, real estate",264
Steven Rales,8900000000,United States,manufacturing,264
Sarath Ratanavadi,8900000000,Thailand,energy,264
Tse Ping,8900000000,China,pharmaceuticals,264
Chan Tan Ching-fen,8800000000,Hong Kong,real estate,269
David Cheriton,8800000000,Canada,Google,269
Xavier Niel,8800000000,France,"internet, telecom",269
August von Finck,8800000000,Germany,investments,269
Zong Qinghou,8800000000,China,beverages,269
Benu Gopal Bangur,8700000000,India,cement,274
Sam Bankman-Fried,8700000000,United States,cryptocurrency,274
Cheng Xue,8700000000,China,soy sauce,274
Graeme Hart,8700000000,New Zealand,investments,274
Kjeld Kirk Kristiansen,8700000000,Denmark,Lego,274
Sofie Kirk Kristiansen,8700000000,Denmark,Lego,274
Thomas Kirk Kristiansen,8700000000,Denmark,Lego,274
Lin Bin,8700000000,United States,smartphones,274
Liu Jincheng & family,8700000000,China,lithium batteries,274
Shigenobu Nagamori,8700000000,Japan,motors,274
Carlos Alberto Sicupira & family,8700000000,Brazil,beer,274
Agnete Kirk Thinggaard,8700000000,Denmark,Lego,274
Anthony von Mandl,8700000000,Canada,alcoholic beverages,274
Xu Shihui,8700000000,China,"snacks, beverages",274
Ernesto Bertarelli,8600000000,Switzerland,"biotech, investments",288
Leon Black,8600000000,United States,private equity,288
Azim Premji,8600000000,India,software services,288
Andrei Skoch & family,8600000000,Russia,steel,288
George Soros,8600000000,United States,hedge funds,288
Zheng Shuliang & family,8600000000,China,aluminum products,288
Marc Benioff,8400000000,United States,business software,294
Kuldip Singh & Gurbachan Singh Dhingra,8400000000,India,paints,294
Ann Walton Kroenke,8400000000,United States,Walmart,294
Bubba Cathy,8300000000,United States,Chick-fil-A,297
Dan Cathy,8300000000,United States,Chick-fil-A,297
Jay Y. Lee,8300000000,South Korea,Samsung,297
Pan Dong,8300000000,Canada,consumer goods,297
Hasso Plattner & family,8300000000,Germany,software,297
Nassef Sawiris,8300000000,Egypt,"construction, investments",297
Kushal Pal Singh,8300000000,India,real estate,297
Stanley Kroenke,8200000000,United States,"sports, real estate",304
Niels Peter Louis-Hansen,8200000000,Denmark,medical devices,304
Alain Merieux & family,8200000000,France,pharmaceuticals,304
Andreas von Bechtolsheim & family,8200000000,Germany,Google,304
Diane Hendricks,8000000000,United States,roofing,308
Shahid Khan,8000000000,United States,auto parts,308
Nicky Oppenheimer & family,8000000000,South Africa,diamonds,308
Anthony Bamford & family,7900000000,United Kingdom,construction equipment,311
Andrew Beal,7900000000,United States,"banks, real estate",311
Dmitry Bukhman,7900000000,Russia,online games,311
Igor Bukhman,7900000000,Russia,online games,311
Takahisa Takahara,7900000000,Japan,personal care goods,311
Kei Hoi Pang,7800000000,China,real estate,316
Alexei Kuzmichev,7800000000,Russia,"oil, banking, telecom",316
John Malone,7800000000,United States,cable television,316
Marijke Mars,7800000000,United States,"candy, pet food",316
Pamela Mars,7800000000,United States,"candy, pet food",316
Valerie Mars,7800000000,United States,"candy, pet food",316
Victoria Mars,7800000000,United States,"candy, pet food",316
Giorgio Armani,7700000000,Italy,luxury goods,323
Frederik Paulsen,7700000000,Sweden,health care,323
David Reuben,7700000000,United Kingdom,"investments, real estate",323
Simon Reuben,7700000000,United Kingdom,"real estate, investments",323
Alexander Abramov,7600000000,Russia,"steel, mining",327
Rinat Akhmetov,7600000000,Ukraine,"steel, coal",327
Silvio Berlusconi & family,7600000000,Italy,media,327
John Grayken,7600000000,Ireland,private equity,327
David Green & family,7600000000,United States,retail,327
George Roberts,7600000000,United States,private equity,327
Zhao Yan,7600000000,China,biotech,327
Nancy Walton Laurie,7500000000,United States,Walmart,334
Pei Zhenhua,7500000000,China,batteries,334
Ruan Liping,7500000000,Hong Kong,power strips,334
Ruan Xueping,7500000000,Hong Kong,power strip,334
Patrick Soon-Shiong,7500000000,United States,pharmaceuticals,334
Antonia Ax:son Johnson & family,7400000000,Sweden,diversified,339
"Ernest Garcia, III.",7400000000,United States,used cars,339
George Lucas,7400000000,United States,Star Wars,339
Vicky Safra,7400000000,Greece,banking,339
Zhang Jindong,7400000000,China,appliance retailer,339
Laurent Dassault,7300000000,France,diversified,344
Thierry Dassault,7300000000,France,diversified,344
Marie-Hélène Habert,7300000000,France,diversified,344
Henry Kravis,7300000000,United States,private equity,344
Lai Meisong,7300000000,China,package delivery,344
Sandra Ortega Mera,7300000000,Spain,Zara,344
Pham Nhat Vuong,7300000000,Vietnam,diversified,344
David Shaw,7300000000,United States,hedge funds,344
Rocco Commisso,7200000000,United States,telecom,352
Michael Kadoorie,7200000000,Hong Kong,"hotels, energy",352
Bernard Marcus,7200000000,United States,Home Depot,352
Manuel Villar,7200000000,Philippines,real estate,352
Christy Walton,7200000000,United States,Walmart,352
Wang Zhenhua,7200000000,China,real estate,352
Carl Bennet,7100000000,Sweden,investments,358
Rahel Blocher,7100000000,Switzerland,chemicals,358
Johann Graf,7100000000,Austria,gambling,358
Ralph Lauren,7100000000,United States,apparel,358
Li Hua,7100000000,China,financial services,358
Magdalena Martullo-Blocher,7100000000,Switzerland,chemicals,358
Stewart and Lynda Resnick,7100000000,United States,"agriculture, water",358
Johann Rupert & family,7100000000,South Africa,luxury goods,358
Safra siblings,7100000000,Brazil,banking,358
Anthony Wood,7100000000,United States,Roku,358
Gang Ye,7100000000,Singapore,gaming,358
Igor Altushkin,7000000000,Russia,metals,369
Bajaj brothers,7000000000,India,diversified,369
Juan Francisco Beckmann Vidal & family,7000000000,Mexico,tequila,369
Alexandre Behring,7000000000,Brazil,investments,369
Vincent Bolloré & family,7000000000,France,investments,369
Gustaf Douglas,7000000000,Sweden,investments,369
Terry Gou,7000000000,Taiwan,electronics,369
"Paul Tudor Jones, II.",7000000000,United States,hedge funds,369
Richard Kinder,7000000000,United States,pipelines,369
Ludwig Merckle,7000000000,Germany,pharmaceuticals,369
Stephen Ross,7000000000,United States,real estate,369
Eli Broad,6900000000,United States,investments,380
Jim Davis & family,6900000000,United States,New Balance,380
Guo Guangchang,6900000000,China,conglomerate,380
Robert Kraft,6900000000,United States,New England Patriots,380
Murali Divi & family,6800000000,India,pharmaceuticals,384
Huang Chulong,6800000000,Canada,real estate,384
Li Jianquan & family,6800000000,Hong Kong,consumer products,384
Shi Yonghong & family,6800000000,China,restaurants,384
Wee Cho Yaw,6800000000,Singapore,banking,384
Erich Wesjohann & family,6800000000,Germany,poultry genetics,384
Aloys Wobben,6800000000,Germany,wind turbines,384
Micky Arison,6700000000,United States,Carnival Cruises,391
Jean-Michel Besnier,6700000000,France,cheese,391
Marie Besnier Beauvalot,6700000000,France,cheese,391
Kwon Hyuk-bin,6700000000,South Korea,online games,391
Li Haiyan,6700000000,China,restaurants,391
Fredrik Lundberg,6700000000,Sweden,"real estate, investments",391
Hiroshi Mikitani,6700000000,Japan,online retail,391
Dmitry Rybolovlev,6700000000,Russia,fertilizer,391
Reinhold Schmieding,6700000000,United States,medical devices,391
Francis Choi,6600000000,Hong Kong,real estate,400
Bruce Kovner,6600000000,United States,hedge funds,400
Wang Wenjing,6600000000,China,business software,400
Zeng Fangqin,6600000000,China,smartphone components,400
Brian Armstrong,6500000000,United States,cryptocurrency,404
Chu Mang Yee & family,6500000000,China,real estate,404
Denise Coates,6500000000,United Kingdom,online gambling,404
Gopikishan Damani,6500000000,India,"retail, investments",404
James Goodnight,6500000000,United States,software,404
Antti Herlin,6500000000,Finland,"elevators, escalators",404
Liu Yongxing,6500000000,China,diversified,404
Sri Prakash Lohia,6500000000,Indonesia,petrochemicals,404
John Overdeck,6500000000,United States,hedge funds,404
Prajogo Pangestu,6500000000,Indonesia,petrochemicals,404
Horst Julius Pudwill,6500000000,Germany,manufacturing,404
David Siegel,6500000000,United States,hedge funds,404
Ronda Stryker,6500000000,United States,medical equipment,404
Georg Stumpf,6500000000,Austria,"real estate, construction",404
Pauline MacMillan Keinath,6400000000,United States,Cargill,418
Wang Yusuo & family,6400000000,China,natural gas distribution,418
Dennis Washington,6400000000,United States,"construction, mining",418
Rahul Bajaj,6300000000,India,diversified,421
Ashwin Dani & family,6300000000,India,paints,421
Andreas Halvorsen,6300000000,Norway,hedge funds,421
Andrei Kozitsyn,6300000000,Russia,metals,421
Axel Oberwelland,6300000000,Germany,candy,421
Shi Yuzhu,6300000000,China,"online games, investments",421
Tsai Eng-meng,6300000000,Taiwan,"food, beverages",421
Murat Ulker,6300000000,Turkey,food,421
Wang Junlin,6300000000,China,liquor,421
Wang Ning & family,6300000000,China,toys,421
You Xiaoping,6300000000,China,"chemicals, spandex",421
Arthur Blank,6200000000,United States,Home Depot,432
James Chambers,6200000000,United States,"media, automotive",432
Jiang Bin,6200000000,China,acoustic components,432
Jason Jiang,6200000000,China,advertising,432
Mitchell Rales,6200000000,United States,"manufacturing, investments",432
Katharine Rayner,6200000000,United States,"media, automotive",432
Margaretta Taylor,6200000000,United States,"media, automotive",432
Stef Wertheimer & family,6200000000,Israel,metalworking tools,432
Mike Adenuga,6100000000,Nigeria,"telecom, oil",440
Charles Dolan & family,6100000000,United States,cable television,440
Marcos Galperin,6100000000,Argentina,e-commerce,440
Huang Li,6100000000,China,imaging systems,440
Law Kar Po,6100000000,Hong Kong,real estate,440
Li Wa,6100000000,Hong Kong,real estate,440
Idan Ofer,6100000000,Israel,"drilling, shipping",440
Qian Dongqi & family,6100000000,China,household appliances,440
Odd Reitan & family,6100000000,Norway,"retail, real estate",440
Henry Samueli,6100000000,United States,semiconductors,440
Les Wexner & family,6100000000,United States,retail,440
Dannine Avara,6000000000,United States,pipelines,451
Juergen Blickle,6000000000,Germany,auto parts,451
Robert Brockman,6000000000,United States,Software,451
Mong-Koo Chung,6000000000,South Korea,Hyundai,451
Dulce Pugliese de Godoy Bueno,6000000000,Brazil,"hospitals, health care",451
Daniel Dines,6000000000,Romania,software,451
Scott Duncan,6000000000,United States,pipelines,451
Judy Faulkner,6000000000,United States,health IT,451
Guenther Fielmann & family,6000000000,Germany,optometry,451
Milane Frantz,6000000000,United States,pipelines,451
Frits Goldschmeding,6000000000,Netherlands,temp agency,451
Andrei Guriev & family,6000000000,Russia,fertilizers,451
Jane Lauder,6000000000,United States,Estée Lauder,451
Martin Lorentzon,6000000000,Sweden,Spotify,451
Isaac Perlmutter,6000000000,United States,Marvel comics,451
Jeff Skoll,6000000000,United States,eBay,451
Robert F. Smith,6000000000,United States,private equity,451
John A. Sobrato & family,6000000000,United States,real estate,451
Ronald Wanek,6000000000,United States,furniture,451
Randa Duncan Williams,6000000000,United States,pipelines,451
Hansjoerg Wyss,6000000000,Switzerland,medical devices,451
Chen Fashu,5900000000,China,investments,472
Chen Rui,5900000000,China,online entertainment,472
Christopher Hohn,5900000000,United Kingdom,hedge funds,472
Lin Jianhua & family,5900000000,China,solar panel components,472
Maria Asuncion Aramburuzabala & family,5800000000,Mexico,"beer, investments",476
Chan Laiwa & family,5800000000,China,real estate,476
George Kaiser,5800000000,United States,"oil & gas, banking",476
Ananda Krishnan,5800000000,Malaysia,"telecoms, media, oil-services",476
Douglas Leone,5800000000,United States,venture capital,476
Li Chunan,5800000000,China,renewable energy,476
Li Ping,5800000000,Hong Kong,batteries,476
William Li,5800000000,China,electric vehicles,476
Augusto & Giorgio Perfetti,5800000000,Italy,candy,476
Meg Whitman,5800000000,United States,eBay,476
Neil Bluhm,5700000000,United States,real estate,486
Andrew Currie,5700000000,United Kingdom,chemicals,486
Tom Gores,5700000000,United States,private equity,486
Michel Leclercq & family,5700000000,France,sporting goods,486
Michael Moritz,5700000000,United States,venture capital,486
Nicolas Puech,5700000000,France,Hermes,486
John Reece,5700000000,United Kingdom,chemicals,486
Emanuele (Lino) Saputo & family,5700000000,Canada,cheese,486
Fred Smith,5700000000,United States,FedEx,486
Teh Hong Piow,5700000000,Malaysia,banking,486
Rene Benko,5600000000,Austria,"real estate, retail",496
Jack Dangermond,5600000000,United States,mapping software,496
Stanley Druckenmiller,5600000000,United States,hedge funds,496
Tamara Gustavson,5600000000,United States,self storage,496
Jian Jun,5600000000,China,biomedical products,496
Kwee brothers,5600000000,Singapore,Real Estate,496
Clive Calder,5500000000,United Kingdom,record label,502
Hasmukh Chudgar & family,5500000000,India,pharmaceuticals,502
Dagmar Dolby & family,5500000000,United States,Dolby Laboratories,502
Dong Wei,5500000000,China,pharmaceuticals,502
Ken Fisher,5500000000,United States,money management,502
Ivan Glasenberg,5500000000,Switzerland,mining,502
He Xiaopeng,5500000000,China,electric vehicles,502
Sumet Jiaravanon,5500000000,Thailand,diversified,502
Karel Komarek,5500000000,Czechia,"oil and gas, IT, lotteries",502
Ronald Lauder,5500000000,United States,Estee Lauder,502
Mu Rongjun,5500000000,China,e-commerce,502
J. Christopher Reyes,5500000000,United States,food distribution,502
Jude Reyes,5500000000,United States,food distribution,502
Kjell Inge Rokke,5500000000,Norway,"shipping, seafood",502
"Edward Roski, Jr.",5500000000,United States,real estate,502
Alexandra Schoerghuber,5500000000,Germany,real estate,502
Shu Ping,5500000000,Singapore,restaurants,502
Christoph Zeller,5500000000,Liechtenstein,dental implants,502
An Kang,5400000000,China,pharmaceuticals,520
Rainer Blickle,5400000000,Germany,auto parts,520
Jaran Chiaravanont,5400000000,Thailand,diversified,520
Alceu Elias Feldmann,5400000000,Brazil,fertilizer,520
Montri Jiaravanont,5400000000,Thailand,diversified,520
"Henry Nicholas, III.",5400000000,United States,semiconductors,520
Terrence Pegula,5400000000,United States,natural gas,520
Carrie Perrodo & family,5400000000,France,oil,520
Harry Stine,5400000000,United States,agriculture,520
Pyotr Aven,5300000000,Russia,"oil, banking, telecom",529
Kapil & Rahul Bhatia,5300000000,India,airlines,529
Cao Renxian,5300000000,China,photovoltaic equipment,529
Barry Lam,5300000000,Taiwan,electronics,529
Carlos Rodriguez-Pastor,5300000000,Peru,finance,529
Shen Guojun,5300000000,China,retail,529
Luiza Helena Trajano,5300000000,Brazil,retail chain,529
Yao Zhenhua & family,5300000000,China,conglomerate,529
Yu Yong,5300000000,China,mining,529
Sam Zell,5300000000,United States,"real estate, private equity",529
John Brown,5200000000,United States,medical equipment,539
